Top pages,Clicks,Impressions,CTR,Position
https://blankpane.com/ko/,1,4,25%,8.75
https://blankpane.com/tools/screen-flashlight/,0,11,0%,30.82
https://blankpane.com/blog/how-to-test-for-dead-pixels/,0,11,0%,49.18
https://blankpane.com/,0,9,0%,1
https://blankpane.com/de/white-screen/,0,9,0%,12.44
https://blankpane.com/tr/orange-screen/,0,8,0%,8.12
https://blankpane.com/tr/white-screen/,0,8,0%,17.75
https://blankpane.com/uk/white-screen/,0,8,0%,19.25
https://blankpane.com/blog/best-zoom-background-colors/,0,8,0%,28.25
https://blankpane.com/tools/ring-light-screen/,0,7,0%,33.86
https://blankpane.com/pt/,0,6,0%,5.67
https://blankpane.com/uk/,0,6,0%,8.33
https://blankpane.com/tools/broken-screen-dummy/,0,6,0%,19.83
https://blankpane.com/es/blank-screen/,0,6,0%,57.5
https://blankpane.com/pl/,0,5,0%,3.8
https://blankpane.com/fr/,0,5,0%,5
https://blankpane.com/pl/gray-screen/,0,5,0%,15.6
https://blankpane.com/es/colors/,0,5,0%,20
https://blankpane.com/pl/white-screen/,0,5,0%,35.8
https://blankpane.com/pl/black-screen/,0,5,0%,72
https://blankpane.com/se/,0,4,0%,6.25
https://blankpane.com/ja/,0,4,0%,7.25
https://blankpane.com/tools/,0,4,0%,10
https://blankpane.com/black-screen/,0,4,0%,15
https://blankpane.com/pink-screen/,0,4,0%,18.25
https://blankpane.com/ko/gray-screen/,0,4,0%,19.5
https://blankpane.com/red-screen/,0,4,0%,22.5
https://blankpane.com/uk/gray-screen/,0,4,0%,22.5
https://blankpane.com/tools/screen-cleaner/,0,4,0%,25.25
https://blankpane.com/pt/white-screen/,0,4,0%,36.75
https://blankpane.com/pl/red-screen/,0,4,0%,43.75
https://blankpane.com/es/black-screen/,0,4,0%,44.5
https://blankpane.com/ja/gray-screen/,0,3,0%,7.33
https://blankpane.com/blog/black-screen-for-focus-and-battery/,0,3,0%,8.67
